html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor
,,Olivarez College*en,active,education,,Olivarez College*en,,http://www.olivarezcollege.edu.ph,,olivarezcollege.edu.ph,1976,,,,,0000 0004 0479 4039,0000 0004 0479 4039,Q7087105,Q7087105,Parañaque City,Philippines,1694781,https://ror.org/02erjsc70,,,,,
,,PATTS College of Aeronautics*en,active,education,,PATTS College of Aeronautics*en,,http://www.patts.edu.ph,,patts.edu.ph,1969,,,,,,,Q3547625,Q3547625,Parañaque City,Philippines,1694781,https://ror.org/03ntzxv45,,,,,
,,Greenville College*en,active,education,,Greenville College*en,GVC*en,https://greenvillecollege.edu.ph,,greenvillecollege.edu.ph,,,,,,,,,,Pasig,Philippines,7290466,https://ror.org/04pav7w83,,,,,
,,La Consolacion College-Pasig*en,active,education,La Consolacion School*en;LCS-Pasig*en,La Consolacion College-Pasig*en,LCCP*en,https://lccpasig.edu.ph,,lccpasig.edu.ph,1993,,,,,,,,,Pasig,Philippines,7290466,https://ror.org/012n8tr54,,,,,
,,STI College Global City*en,active,education,,STI College Global City*en,,https://globalcity.sti.edu,,globalcity.sti.edu,,,,,,,,,,Taguig,Philippines,1684308,https://ror.org/053cgh087,,,,,
,,The Fisher Valley College*en,active,education,,The Fisher Valley College*en,TFVC*en,https://tfvc.edu.ph,,tfvc.edu.ph,1986,,,,,,,,,Taguig,Philippines,1684308,https://ror.org/04ae4ew77,,,,,
,,Enderun Colleges*en,active,education,,Enderun Colleges*en,,https://www.enderuncolleges.com,,enderuncolleges.com,2005,,,,,0000 0004 0453 4069,0000 0004 0453 4069,Q5376086,Q5376086,Taguig,Philippines,1684308,https://ror.org/03b1krw35,,,,,
,,Biblical Seminary of the Philippines*en,active,education,Bible Institute of the Philippines*en,Biblical Seminary of the Philippines*en,BSOP*en,https://bsop.edu.ph,,bsop.edu.ph,1957,,,,,,,,,Valenzuela,Philippines,1680102,https://ror.org/03n2ms511,,,,,
,,FEBIAS College of Bible*en,active,education,Febias College of Bible*en; Far Eastern Bible Institute and Seminary*en,FEBIAS College of Bible*en,FEBIAS*en,https://www.febias.edu.ph,,febias.edu.ph,1948,,,,,,,,,Valenzuela,Philippines,1680102,https://ror.org/01eahzw10,,,,,
,,Arellano University-Pasay*en,active,education,Jose Abad Santos Campus*en,Arellano University-Pasay*en,,https://arellano.edu.ph,,,,,,,,,,,,Pasay,Philippines,1694611,https://ror.org/025sd4723,https://ror.org/0173r0e90,,,,
