html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,comment
,https://ror.org/020mkze41,Centro de Estudos e Peritagem em Auditoria e Contabilidade*pt,active,education,Universidade de Aveiro Centro de Estudos e Peritagem em Auditoria e Contabilidade*pt,Centro de Estudos e Peritagem em Auditoria e Contabilidade*pt,CEPAC*pt,,,,,,,,,0000 0004 5928 1679,0000 0004 5928 1679,,,Aveiro,Portugal,2742611,https://ror.org/00nt41z93,"Active, Website not loading/found"
,https://ror.org/02g50ac66,Unidade de Transferência de Tecnologia*pt,inactive,education,Universidade de Aveiro Unidade de Transferência de Tecnologia*pt,Unidade de Transferência de Tecnologia*pt,TEC*pt,,,,,,,,,0000 0005 0633 1465,0000 0005 0633 1465,,,Aveiro,Portugal,2742611,https://ror.org/00nt41z93,"Add as Inactive, according to https://www.ua.pt/pt/uacoopera it was succeeded by UACOOPERA (https://ror.org/0412bhr24)"
,https://ror.org/04d9egb29,Centro de Estudos de Linguística Geral e Aplicada*pt,active,education,Universidade de Coimbra Centro de Estudos de Linguística Geral e Aplicada*pt,Centro de Estudos de Linguística Geral e Aplicada*pt,CELGA*pt,https://celga-iltec.uc.pt,,celga-iltec.uc.pt,,,,,,0000 0004 0393 7915,0000 0004 0393 7915,,,Coimbra,Portugal,2740637,https://ror.org/04z8k9a98,
,https://ror.org/03bm2y510,Universidade de Coimbra Ius Gentium Conimbrigae Centro de Direitos Humanos*pt,active,education,Universidade de Coimbra Ius Gentium Conimbrigae Centro de Direitos Humanos*pt,Universidade de Coimbra Ius Gentium Conimbrigae Centro de Direitos Humanos*pt; Human Rights Centre*en,IGC CDH*pt,https://igc.fd.uc.pt,,igc.fd.uc.pt,,,,,,0000 0004 6418 2827,0000 0004 6418 2827,,,Coimbra,Portugal,2740637,https://ror.org/04z8k9a98,
,https://ror.org/03a78xy24,Universidade de Coimbra Museu da Ciência*pt,active,other,,Universidade de Coimbra Museu da Ciência*pt,,http://www.museudaciencia.pt,,museudaciencia.pt,,,,,,0000 0001 2113 265X,0000 0001 2113 265X,,,Coimbra,Portugal,2740637,https://ror.org/04z8k9a98,
,https://ror.org/00cs0m088,Universidade de Coimbra Unidade de Investigação e Desenvolvimento Química-Física Molecular*pt,active,education,Universidade de Coimbra Unidade de Investigação e Desenvolvimento Química-Física Molecular*pt,Universidade de Coimbra Unidade de Investigação e Desenvolvimento Química-Física Molecular*pt,QFM*pt,https://qfm.uc.pt/index.html/,,,,,,,,0000 0004 5897 2056,0000 0004 5897 2056,,,Coimbra,Portugal,2740637,https://ror.org/04z8k9a98,
,https://ror.org/02dfn9z13,Centro de Investigação em Sociologia e Antropologia Augusto da Silva*pt,active,education,Universidade de Évora Centro de Investigação em Sociologia e Antropologia Augusto da Silva*pt,Centro de Investigação em Sociologia e Antropologia Augusto da Silva*pt,CISA-AS*pt,http://www.cisa-as.uevora.pt,,cisa-as.uevora.pt,,,,,,0000 0004 6413 9001,0000 0004 6413 9001,,,Évora,Portugal,2268406,https://ror.org/02gyps716,
,https://ror.org/044zx7719,Centro de Química de Évora*pt,active,education,Universidade de Évora Centro de Química de Évora*pt,Centro de Química de Évora*pt,CQE*pt,http://www.cqe.uevora.pt,,cqe.uevora.pt,,,,,,0000 0004 4903 2425,0000 0004 4903 2425,,,Évora,Portugal,2268406,https://ror.org/02gyps716,
,https://ror.org/053j74t32,Biblioteca Noronha Feio*pt,active,archive,Universidade de Lisboa Biblioteca Noronha Feio*pt,Biblioteca Noronha Feio*pt,,https://www.fmh.ulisboa.pt/servicos/biblioteca,,,,,,,,0000 0004 7414 6731,0000 0004 7414 6731,,,Cruz Quebrada,Portugal,2268791,https://ror.org/01c27hj86,
,https://ror.org/04nvdxw11,Centro de Estudos Clássicos*pt,active,education,Universidade de Lisboa Centro de Estudos Clássicos*pt,Centro de Estudos Clássicos*pt,,https://centroclassicos.letras.ulisboa.pt,,centroclassicos.letras.ulisboa.pt,,,,,,0000 0001 2206 8573,0000 0001 2206 8573,,,Lisboa,Portugal,2267057,https://ror.org/01c27hj86,
